,Date,Open,High,Low,Close,Adj Close,Volume
,42801,367.619995,376,366.609985,375.950012,375.950012,11807900
,42802,381.089996,384.25,376.309998,380.660004,380.660004,12818400
,42803,372.5,375.459991,366.48999,375.339996,375.339996,10426500
,42804,377.980011,378.01001,370.100006,371.399994,371.399994,6731000
,42805,375,376.700012,367.799988,369.799988,369.799988,6549300
,42806,376.670013,378.880005,369.730011,372.23999,372.23999,7438700
,42807,374.350006,376.98999,368.019989,376.399994,376.399994,4923200
,42808,377.98999,385,373.570007,382.609985,382.609985,7529800
,42809,382.450012,386.98999,379.350006,383.450012,383.450012,6445800
,42810,386.690002,386.950012,373.100006,377.48999,377.48999,6604100
,42811,376.399994,376.399994,362.019989,362.369995,362.369995,6996400
,42812,366.679993,371.73999,362.519989,371.23999,371.23999,6302500
,42813,370.609985,371,354.100006,360.75,360.75,8221000
,42814,363.709991,366.769989,359.619995,361.609985,361.609985,5828300
,42815,370.23999,371.350006,351.5,352.619995,352.619995,6305400
,42816,347.200012,347.23999,326.329987,327.089996,327.089996,17046700
,42817,317.26001,320.790009,306.299988,308.829987,308.829987,19324500
,42818,313.5,317,307.380005,313.220001,313.220001,14176900
,42819,312.899994,317.940002,303.130005,316.049988,316.049988,13820900
,42820,316,327.279999,314.299988,327.220001,327.220001,11559400
,42821,330.399994,333.100006,324.5,329.519989,329.519989,10346100
,42822,330.109985,331.600006,319.970001,323.410004,323.410004,8594500
,42823,323.190002,328.420013,321.220001,327.779999,327.779999,5625200
,42824,325.540009,327.100006,313.450012,319.570007,319.570007,9876900
,42825,317.5,329.130005,315.660004,328.23999,328.23999,6373700
,42826,328.230011,331.649994,323.220001,325.26001,325.26001,6357000
,42827,326.899994,330.220001,324.200012,329.920013,329.920013,5166200
,42828,329.459991,331.26001,325.799988,328.399994,328.399994,4901600
,42829,330.23999,343.399994,330.01001,342.519989,342.519989,8637100
,42830,345,345.600006,334.149994,339.600006,339.600006,6989200
,42831,340.359985,345.5,338.119995,343.850006,343.850006,4820800
,42832,346,347.5,326.290009,334.459991,334.459991,8302400
,42833,336.890015,339.600006,332.51001,335.070007,335.070007,4861000
